Model,Feature,Feature Transf,Dataset,Accuracy,F1-Score,Kappa (Cohen),AUC,DATE
svm,spectrogram,mean_var,CustomDB2,0.251,0.327,0.033,,20/01/2024 00:00:00
LDA,spectrogram,mean_var,CustomDB2,0.83,0.47,0.37,0.849,20/01/2024 00:00:00
xgboost,spectrogram,mean_var,CustomDB2,0.983,0.954,0.944,0.999,20/01/2024 00:00:00
randomForest,spectrogram,mean_var,CustomDB2,0.986,0.961,0.953,0.998,20/01/2024 00:00:00
logisticregression,spectrogram,mean_var,CustomDB2,0.796,0.637,0.519,0.955,20/01/2024 00:00:00
svm,mel_spectrogram,mean_var,CustomDB2,0.279,0.335,0.047,,20/01/2024 00:00:00
LDA,mel_spectrogram,mean_var,CustomDB2,0.858,0.549,0.466,0.852,20/01/2024 00:00:00
xgboost,mel_spectrogram,mean_var,CustomDB2,0.983,0.955,0.944,0.994,20/01/2024 00:00:00
randomForest,mel_spectrogram,mean_var,CustomDB2,0.975,0.931,0.916,0.996,20/01/2024 00:00:00
logisticregression,mel_spectrogram,mean_var,CustomDB2,0.715,0.56,0.405,0.94,20/01/2024 00:00:00
svm,MFCC,mean_var,CustomDB2,0.665,0.483,0.3,,20/01/2024 00:00:00
LDA,MFCC,mean_var,CustomDB2,0.975,0.927,0.912,0.99,20/01/2024 00:00:00
xgboost,MFCC,mean_var,CustomDB2,0.986,0.961,0.952,0.999,20/01/2024 00:00:00
randomForest,MFCC,mean_var,CustomDB2,0.975,0.926,0.911,0.994,20/01/2024 00:00:00
logisticregression,MFCC,mean_var,CustomDB2,0.955,0.884,0.856,0.988,20/01/2024 00:00:00
svm,LFCC,mean_var,CustomDB2,0.793,0.58,0.455,,20/01/2024 00:00:00
LDA,LFCC,mean_var,CustomDB2,0.925,0.78,0.735,0.953,20/01/2024 00:00:00
xgboost,LFCC,mean_var,CustomDB2,0.992,0.977,0.972,0.998,20/01/2024 00:00:00
randomForest,LFCC,mean_var,CustomDB2,0.975,0.928,0.913,0.994,20/01/2024 00:00:00
logisticregression,LFCC,mean_var,CustomDB2,0.899,0.757,0.695,0.949,20/01/2024 00:00:00
svm,MFCC_lib,mean_var,CustomDB2,0.662,0.476,0.291,,20/01/2024 00:00:00
LDA,MFCC_lib,mean_var,CustomDB2,0.941,0.824,0.789,0.976,20/01/2024 00:00:00
xgboost,MFCC_lib,mean_var,CustomDB2,0.983,0.955,0.944,0.999,20/01/2024 00:00:00
randomForest,MFCC_lib,mean_var,CustomDB2,0.98,0.946,0.934,0.996,20/01/2024 00:00:00
logisticregression,MFCC_lib,mean_var,CustomDB2,0.919,0.808,0.758,0.966,20/01/2024 00:00:00
svm,STFT,mean_var,CustomDB2,0.86,0.653,0.566,,20/01/2024 00:00:00
LDA,STFT,mean_var,CustomDB2,0.891,0.636,0.575,0.929,20/01/2024 00:00:00
xgboost,STFT,mean_var,CustomDB2,0.972,0.921,0.904,0.996,20/01/2024 00:00:00
randomForest,STFT,mean_var,CustomDB2,0.969,0.912,0.893,0.99,20/01/2024 00:00:00
logisticregression,STFT,mean_var,CustomDB2,0.891,0.731,0.664,0.956,20/01/2024 00:00:00
